alsa-ucm-conf/plucky-updates 1.2.12-1ubuntu1.3 all [upgradable from: 1.2.12-1ubuntu1]
gtk-update-icon-cache/plucky-updates 4.18.5+ds-0ubuntu0.1 amd64 [upgradable from: 4.18.4+ds-1]
libarchive13t64/plucky-updates,plucky-security 3.7.7-0ubuntu2.3 amd64 [upgradable from: 3.7.7-0ubuntu2.1]
libnss-systemd/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
libpam-modules-bin/plucky-updates,plucky-security 1.5.3-7ubuntu4.3 amd64 [upgradable from: 1.5.3-7ubuntu4]
libpam-modules/plucky-updates,plucky-security 1.5.3-7ubuntu4.3 amd64 [upgradable from: 1.5.3-7ubuntu4]
libpam-runtime/plucky-updates,plucky-security 1.5.3-7ubuntu4.3 all [upgradable from: 1.5.3-7ubuntu4]
libpam-systemd/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
libpam0g/plucky-updates,plucky-security 1.5.3-7ubuntu4.3 amd64 [upgradable from: 1.5.3-7ubuntu4]
libpciaccess0/plucky-updates 0.17-3ubuntu0.25.04.1 amd64 [upgradable from: 0.17-3build1]
libpython3.13-dev/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
libpython3.13-minimal/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
libpython3.13-stdlib/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
libpython3.13/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
libsystemd-shared/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
libsystemd0/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
libudev1/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
linux-libc-dev/plucky-updates,plucky-security 6.14.0-22.22 amd64 [upgradable from: 6.14.0-15.15]
python3-pip/plucky-updates,plucky-security 25.0+dfsg-1ubuntu0.1 all [upgradable from: 25.0+dfsg-1]
python3.13-dev/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
python3.13-minimal/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
python3.13/plucky-updates,plucky-security 3.13.3-1ubuntu0.2 amd64 [upgradable from: 3.13.3-1]
systemd-cryptsetup/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
systemd-resolved/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
systemd-sysv/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
systemd-timesyncd/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
systemd/plucky-updates,plucky-security 257.4-1ubuntu3.1 amd64 [upgradable from: 257.4-1ubuntu3]
